image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_1.czi,combined,otsu_global,19,678,364.6991150442478,201.1165191740413,134.1519174041298,2.9129793510324484,0,0.0,1.0,True,False,False,0,39.97255212970533
yeast_cyano_1.czi,combined,otsu_global,20,82,396.9512195121951,141.28048780487805,93.64634146341463,1.1219512195121952,0,0.0,1.0,True,False,False,0,9.843660457962688
yeast_cyano_1.czi,combined,otsu_global,21,178,424.41011235955057,264.8876404494382,102.53932584269663,2.235955056179775,0,0.0,1.0,True,False,False,0,8.940820218657153
yeast_cyano_1.czi,combined,otsu_global,22,87,438.67816091954023,93.10344827586206,73.51724137931035,0.5287356321839081,0,0.0,1.0,False,False,False,0,57.26879882295766
yeast_cyano_1.czi,combined,otsu_global,23,66,452.07575757575756,90.04545454545455,66.18181818181819,1.7121212121212122,0,0.0,1.0,True,False,False,0,66.11770870639629
yeast_cyano_1.czi,combined,watershed,1,678,364.6991150442478,201.1165191740413,134.1519174041298,2.9129793510324484,0,0.0,1.0,True,False,False,0,39.97255212970533
yeast_cyano_1.czi,combined,watershed,2,541,337.9611829944547,385.8669131238447,103.55268022181146,20.76155268022181,223,0.4121996303142329,1.0,True,True,True,1,5.121889259647038
yeast_cyano_1.czi,combined,watershed,3,578,210.28719723183391,288.0501730103806,108.13667820069205,2.4844290657439445,0,0.0,1.0,True,False,False,0,75.26206625630836
yeast_cyano_1.czi,combined,watershed,4,400,296.98,129.7975,146.045,28.725,205,0.5125,1.0,True,True,True,1,3.2728362935485196
yeast_cyano_1.czi,combined,watershed,5,412,328.41990291262135,404.30825242718447,144.73300970873785,13.893203883495145,113,0.27427184466019416,1.0,True,True,True,1,3.1001859563862593
yeast_cyano_1.czi,combined,watershed,6,396,212.9090909090909,389.74747474747477,92.38131313131314,11.469696969696969,105,0.26515151515151514,1.0,True,True,True,1,3.312782485621223
yeast_cyano_1.czi,combined,watershed,7,179,206.81005586592178,3.122905027932961,134.64804469273744,10.167597765363128,34,0.18994413407821228,1.0,True,True,True,2,4.183174605857415
yeast_cyano_1.czi,combined,watershed,8,353,195.1473087818697,183.5014164305949,127.36827195467423,5.390934844192635,26,0.07365439093484419,1.0,True,True,True,1,3.144546369549845
yeast_cyano_1.czi,combined,watershed,9,369,259.29539295392954,134.64769647696477,97.62872628726288,13.143631436314363,104,0.28184281842818426,1.0,True,True,True,1,2.586440170251816
yeast_cyano_1.czi,combined,watershed,10,426,113.71596244131456,64.04929577464789,105.79107981220658,0.431924882629108,0,0.0,1.0,False,False,False,0,56.117468445978865
yeast_cyano_1.czi,combined,watershed,11,501,180.96606786427145,342.61077844311376,141.59281437125748,1.5109780439121756,0,0.0,1.0,True,False,False,0,54.26930246238545
yeast_cyano_1.czi,combined,watershed,12,263,182.26235741444867,204.06083650190115,139.88212927756655,2.8365019011406845,3,0.011406844106463879,1.0,True,False,False,0,8.138694871300405
yeast_cyano_1.czi,combined,watershed,13,257,171.9182879377432,191.4124513618677,96.59533073929961,4.455252918287938,3,0.011673151750972763,1.0,True,False,False,0,9.439007614960945
yeast_cyano_1.czi,combined,watershed,14,226,313.4911504424779,186.7920353982301,86.36725663716814,2.752212389380531,0,0.0,1.0,True,False,False,0,12.822297433902035
yeast_cyano_1.czi,combined,watershed,15,308,176.5,363.85064935064935,118.69155844155844,1.3149350649350648,0,0.0,1.0,True,False,False,0,45.87478174098066
yeast_cyano_1.czi,combined,watershed,16,284,190.5,314.9225352112676,104.04577464788733,2.211267605633803,0,0.0,1.0,True,False,False,0,76.33793641050579
yeast_cyano_1.czi,combined,watershed,17,170,113.80588235294118,86.43529411764706,110.99411764705883,0.34705882352941175,0,0.0,1.0,False,False,False,0,56.949799855573644
yeast_cyano_1.czi,combined,watershed,18,169,128.27810650887574,83.91124260355029,100.26627218934911,0.757396449704142,0,0.0,1.0,False,False,False,0,70.69278812013306
yeast_cyano_1.czi,combined,watershed,19,95,5.021052631578947,298.66315789473686,112.71578947368421,2.957894736842105,0,0.0,1.0,True,False,False,0,106.45228950634917
yeast_cyano_1.czi,combined,watershed,20,158,12.740506329113924,318.36708860759495,78.82911392405063,1.360759493670886,0,0.0,1.0,True,False,False,0,86.91168487023698
yeast_cyano_1.czi,combined,watershed,21,97,294.29896907216494,278.1340206185567,62.381443298969074,9.762886597938145,21,0.21649484536082475,1.0,True,True,True,0,4.807066304190765
yeast_cyano_1.czi,combined,watershed,22,98,101.9795918367347,476.0204081632653,63.41836734693877,3.1122448979591835,0,0.0,1.0,True,False,False,0,28.979032699459296
yeast_cyano_1.czi,combined,watershed,23,79,159.2405063291139,213.9873417721519,115.0632911392405,3.5822784810126582,6,0.0759493670886076,1.0,True,True,True,0,14.893570269858445
yeast_cyano_1.czi,combined,watershed,24,82,396.9512195121951,141.28048780487805,93.64634146341463,1.1219512195121952,0,0.0,1.0,True,False,False,0,9.843660457962688
yeast_cyano_1.czi,combined,watershed,25,61,250.86885245901638,150.672131147541,117.60655737704919,2.9344262295081966,0,0.0,1.0,True,False,False,0,17.739928745915197
yeast_cyano_1.czi,combined,watershed,26,132,273.4318181818182,479.81060606060606,78.59848484848484,5.734848484848484,0,0.0,1.0,True,False,False,0,10.472077734534457
yeast_cyano_1.czi,combined,watershed,27,178,424.41011235955057,264.8876404494382,102.53932584269663,2.235955056179775,0,0.0,1.0,True,False,False,0,8.940820218657153
yeast_cyano_1.czi,combined,watershed,28,157,281.5222929936306,468.5859872611465,70.1656050955414,5.719745222929936,1,0.006369426751592357,1.0,True,False,False,0,3.591441611863151
yeast_cyano_1.czi,combined,watershed,29,87,438.67816091954023,93.10344827586206,73.51724137931035,0.5287356321839081,0,0.0,1.0,False,False,False,0,57.26879882295766
yeast_cyano_1.czi,combined,watershed,30,66,125.4090909090909,119.96969696969697,92.62121212121212,1.1818181818181819,0,0.0,1.0,True,False,False,0,43.85306111848797
yeast_cyano_1.czi,combined,watershed,31,66,171.42424242424244,485.9848484848485,72.15151515151516,3.0454545454545454,2,0.030303030303030304,1.0,True,False,False,0,10.423413068242072
yeast_cyano_1.czi,combined,watershed,32,69,184.8840579710145,498.536231884058,95.26086956521739,10.27536231884058,14,0.2028985507246377,1.0,True,True,True,0,8.581755278553196
yeast_cyano_1.czi,combined,watershed,33,91,185.43956043956044,484.2637362637363,92.15384615384616,7.835164835164835,15,0.16483516483516483,1.0,True,True,True,0,8.52594599244091
yeast_cyano_1.czi,combined,watershed,34,66,452.07575757575756,90.04545454545455,66.18181818181819,1.7121212121212122,0,0.0,1.0,True,False,False,0,66.11770870639629
yeast_cyano_2.czi,combined,otsu_global,1,1015,91.94088669950739,310.9113300492611,137.5527093596059,2.378325123152709,30,0.029556650246305417,1.0,True,True,True,0,12.76621949679259
yeast_cyano_2.czi,combined,otsu_global,2,156,75.33974358974359,504.5897435897436,94.12179487179488,4.7756410256410255,0,0.0,1.0,True,False,False,0,42.02301722167916
yeast_cyano_2.czi,combined,otsu_global,3,442,115.22398190045249,225.8054298642534,108.18325791855203,0.9072398190045249,0,0.0,1.0,False,False,False,0,37.26468926697342
yeast_cyano_2.czi,combined,otsu_global,4,139,110.39568345323741,411.0647482014389,114.93525179856115,3.093525179856115,5,0.03597122302158273,1.0,True,True,True,0,13.024454083879505
yeast_cyano_2.czi,combined,otsu_global,5,535,120.06915887850467,499.85794392523366,144.55514018691588,5.639252336448598,35,0.06542056074766354,1.0,True,True,True,1,4.183444620757397
yeast_cyano_2.czi,combined,otsu_global,6,1146,141.5584642233857,201.1980802792321,141.717277486911,17.969458987783597,484,0.4223385689354276,1.0,True,True,True,2,7.4980131763859434
yeast_cyano_2.czi,combined,otsu_global,7,251,135.92828685258965,80.45019920318725,100.24302788844622,14.796812749003983,85,0.3386454183266932,1.0,True,True,True,1,0.5808760080262068
yeast_cyano_2.czi,combined,otsu_global,8,427,197.73302107728338,140.50117096018735,114.22482435597189,1.6088992974238876,0,0.0,1.0,True,False,False,0,56.75823689898192
yeast_cyano_2.czi,combined,otsu_global,9,343,215.07871720116617,193.23615160349854,103.44897959183673,0.8746355685131195,0,0.0,1.0,False,False,False,0,29.678071273808015
yeast_cyano_2.czi,combined,otsu_global,10,80,235.1375,333.2125,97.7625,0.4,0,0.0,1.0,False,False,False,0,25.62843027836584
yeast_cyano_2.czi,combined,otsu_global,11,86,242.1046511627907,348.43023255813955,94.80232558139535,1.127906976744186,0,0.0,1.0,True,False,False,0,33.604814380048275
yeast_cyano_2.czi,combined,otsu_global,12,103,268.15533980582524,210.27184466019418,88.96116504854369,4.601941747572815,4,0.038834951456310676,1.0,True,False,False,0,11.605420586655928
yeast_cyano_2.czi,combined,otsu_global,13,267,303.7228464419476,426.4194756554307,77.31460674157303,29.84269662921348,165,0.6179775280898876,1.0,True,True,True,1,0.28623486851923535
