image,red_object_label,red_object_area_px,centroid_y,centroid_x,mean_red_intensity,mean_green_intensity_in_red_object
cyano_only_2.tif,28,269,318.6654275092937,479.1561338289963,46.02973977695167,4.16728624535316
cyano_only_2.tif,29,139,321.75539568345323,320.294964028777,50.618705035971225,5.258992805755396
cyano_only_2.tif,30,231,328.64502164502164,158.52380952380952,50.134199134199136,3.6926406926406927
cyano_only_2.tif,31,165,340.8969696969697,23.666666666666668,39.97575757575758,3.315151515151515
cyano_only_2.tif,32,156,342.02564102564105,5.269230769230769,54.916666666666664,3.3974358974358974
cyano_only_2.tif,33,36,348.75,135.83333333333334,47.47222222222222,2.861111111111111
cyano_only_2.tif,34,54,354.48148148148147,154.75925925925927,44.72222222222222,2.4814814814814814
cyano_only_2.tif,35,6,355.1666666666667,141.66666666666666,43.333333333333336,2.6666666666666665
cyano_only_2.tif,36,228,366.74122807017545,191.8201754385965,49.56578947368421,4.4605263157894735
cyano_only_2.tif,37,432,368.1875,324.5740740740741,103.18518518518519,17.54398148148148
cyano_only_2.tif,38,77,372.6363636363636,34.45454545454545,44.54545454545455,3.844155844155844
cyano_only_2.tif,39,8,369.625,137.375,47.375,2.0
cyano_only_2.tif,40,77,378.1818181818182,449.2597402597403,39.94805194805195,3.0779220779220777
cyano_only_2.tif,41,513,406.7797270955166,173.5399610136452,54.53411306042885,3.787524366471735
cyano_only_2.tif,42,186,411.1505376344086,446.505376344086,62.67204301075269,10.548387096774194
cyano_only_2.tif,43,106,416.97169811320754,27.037735849056602,42.56603773584906,3.990566037735849
cyano_only_2.tif,44,137,416.3795620437956,45.47445255474452,46.18248175182482,3.3065693430656933
cyano_only_2.tif,45,139,430.3021582733813,268.51079136690646,42.856115107913666,4.719424460431655
cyano_only_2.tif,46,28,439.75,499.17857142857144,43.17857142857143,4.464285714285714
cyano_only_2.tif,47,278,459.4352517985611,178.24460431654677,50.98201438848921,4.460431654676259
cyano_only_2.tif,48,238,457.64285714285717,16.53361344537815,44.07983193277311,3.3361344537815127
cyano_only_2.tif,49,41,452.780487804878,501.9268292682927,39.68292682926829,3.0
cyano_only_2.tif,50,347,472.3659942363112,213.04034582132564,48.75504322766571,3.5043227665706054
cyano_only_2.tif,51,57,469.3157894736842,438.7894736842105,46.80701754385965,3.473684210526316
cyano_only_2.tif,52,11,475.27272727272725,447.3636363636364,43.63636363636363,2.0
cyano_only_2.tif,53,68,504.69117647058823,504.80882352941177,40.51470588235294,3.985294117647059
cyano_only_2.tif,54,13,509.0769230769231,510.15384615384613,46.61538461538461,6.384615384615385
cyano_only_3.tif,1,13,2.4615384615384617,84.92307692307692,42.15384615384615,0.0
cyano_only_3.tif,2,147,7.959183673469388,320.5374149659864,97.14285714285714,0.0
cyano_only_3.tif,3,31,3.5483870967741935,377.5806451612903,68.87096774193549,0.0
cyano_only_3.tif,4,68,7.044117647058823,402.97058823529414,63.55882352941177,0.0
cyano_only_3.tif,5,9,0.7777777777777778,439.8888888888889,54.77777777777778,0.0
cyano_only_3.tif,6,11,3.727272727272727,452.27272727272725,55.27272727272727,0.0
cyano_only_3.tif,7,7,3.5714285714285716,78.0,50.42857142857143,0.0
cyano_only_3.tif,8,277,30.981949458483754,499.24548736462094,73.78339350180505,0.0
cyano_only_3.tif,9,6,19.833333333333332,508.3333333333333,55.0,0.0
cyano_only_3.tif,10,6,21.333333333333332,445.1666666666667,51.833333333333336,0.0
cyano_only_3.tif,11,6,37.0,468.5,67.0,0.0
cyano_only_3.tif,12,30,51.36666666666667,423.3666666666667,48.13333333333333,0.0
cyano_only_3.tif,13,463,72.49676025917927,486.0453563714903,60.72354211663067,0.0
cyano_only_3.tif,14,27,52.851851851851855,402.0,47.96296296296296,0.0
cyano_only_3.tif,15,35,57.714285714285715,445.9428571428571,53.17142857142857,0.0
cyano_only_3.tif,16,6,59.5,453.0,46.833333333333336,0.0
cyano_only_3.tif,17,6,63.833333333333336,505.3333333333333,52.666666666666664,0.0
cyano_only_3.tif,18,7,71.71428571428571,455.85714285714283,54.57142857142857,0.0
cyano_only_3.tif,19,6,71.66666666666667,507.8333333333333,52.333333333333336,0.0
cyano_only_3.tif,20,127,97.68503937007874,450.748031496063,69.7244094488189,0.0
cyano_only_3.tif,21,21,114.57142857142857,426.6666666666667,42.95238095238095,0.0
cyano_only_3.tif,22,6,115.83333333333333,441.6666666666667,49.333333333333336,0.0
cyano_only_3.tif,23,6,118.83333333333333,428.8333333333333,50.166666666666664,0.0
cyano_only_3.tif,24,6,120.66666666666667,443.1666666666667,71.16666666666667,0.0
cyano_only_3.tif,25,26,134.15384615384616,453.65384615384613,47.76923076923077,0.0
cyano_only_3.tif,26,9,138.44444444444446,447.22222222222223,56.77777777777778,0.0
cyano_only_3.tif,27,27,141.4814814814815,458.6666666666667,60.51851851851852,0.0
cyano_only_3.tif,28,16,147.9375,394.75,45.375,0.0
cyano_only_3.tif,29,8,150.875,385.75,62.25,0.0
cyano_only_3.tif,30,15,152.06666666666666,423.1333333333333,50.266666666666666,0.0
cyano_only_3.tif,31,250,192.56,325.416,110.496,0.0
cyano_only_3.tif,32,97,193.38144329896906,357.41237113402065,50.03092783505155,0.0
cyano_only_3.tif,33,8,204.75,7.125,51.875,0.0
cyano_only_3.tif,34,7,219.42857142857142,336.0,50.57142857142857,0.0
cyano_only_3.tif,35,38,233.57894736842104,276.7368421052632,46.81578947368421,0.0
cyano_only_3.tif,36,7,235.14285714285714,224.85714285714286,56.57142857142857,0.0
cyano_only_3.tif,37,9,238.33333333333334,282.6666666666667,57.22222222222222,0.0
cyano_only_3.tif,38,56,249.64285714285714,243.625,45.44642857142857,0.0
cyano_only_3.tif,39,10,252.8,65.9,54.4,0.0
